,cluster,log_size,lgbm_default_training_cov_3.5_fbeta,lgbm_default_validation_cov_3.5_fbeta,lgbm_optimal_training_cov_3.5_fbeta,lgbm_optimal_validation_cov_3.5_fbeta,lr_default_training_cov_3.5_fbeta,lr_default_validation_cov_3.5_fbeta,lr_optimal_training_cov_3.5_fbeta,lr_optimal_validation_cov_3.5_fbeta,rfmulti_default_training_cov_3.5_fbeta,rfmulti_default_validation_cov_3.5_fbeta,rfmulti_optimal_training_cov_3.5_fbeta,rfmulti_optimal_validation_cov_3.5_fbeta,svm_default_training_cov_3.5_fbeta,svm_default_validation_cov_3.5_fbeta,svm_optimal_training_cov_3.5_fbeta,svm_optimal_validation_cov_3.5_fbeta,nn_default_training_cov_3.5_fbeta,nn_default_validation_cov_3.5_fbeta,nn_optimal_training_cov_3.5_fbeta,nn_optimal_validation_cov_3.5_fbeta
41,Exc L4-5 FEZF2 SCN4B,4.6438561897747235,0.11173184357541896,0.0,1.0,1.0,1.0,0.9824561403508772,1.0,1.0,1.0,0.9523809523809524,1.0,0.9523809523809524,0.9859154929577464,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,1.0
42,Inh L5-6 GAD1 GLP1R,4.754887502163468,0.5859374999999999,0.5434782608695652,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9615384615384616,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.9615384615384616,1.0,1.0
43,Inh L4-6 PVALB SULF1,7.383704292474053,0.8120437956204379,0.44943820224719105,0.9979838709677421,0.8235294117647058,1.0,0.9090909090909092,1.0,0.7746478873239436,1.0,0.7758620689655173,1.0,0.8333333333333335,0.9895833333333334,0.8474576271186439,1.0,0.7792207792207793,1.0,0.6435643564356436,1.0,0.7911392405063291
44,Exc L4-5 RORB FOLH1B,9.76487159073609,0.9683794466403164,0.9367541766109784,0.9996162701458172,0.9382022471910112,1.0,0.8620689655172413,1.0,0.9338747099767982,1.0,0.9157303370786516,1.0,0.9410430839002268,0.9922779922779922,0.9440559440559442,1.0,0.9255079006772008,1.0,0.9484777517564402,1.0,0.9284116331096196
45,Inh L1-2 GAD1 MC4R,6.7414669864011465,0.8582089552238806,0.4545454545454545,1.0,0.9174311926605504,1.0,0.9350649350649348,1.0,0.9278350515463916,1.0,0.8547008547008548,1.0,0.9292035398230089,0.9968354430379748,0.8910891089108911,1.0,0.9174311926605504,0.960144927536232,0.8823529411764707,1.0,0.9292035398230089
46,Inh L1 SST CHRNA4,5.7004397181410935,0.5707762557077626,0.3636363636363636,1.0,0.8510638297872339,1.0,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,0.9302325581395351,1.0,0.0,1.0,0.9302325581395351,0.7635467980295567,0.5494505494505494,1.0,0.8823529411764707
47,Inh L2-4 PVALB WFDC2,8.59618975614441,0.94,0.7294832826747719,1.0,0.8958837772397095,1.0,0.9090909090909092,1.0,0.96514745308311,1.0,0.7900207900207901,1.0,0.7623762376237624,0.999134948096886,0.9740259740259741,1.0,0.9254498714652958,1.0,0.9530791788856308,1.0,0.9383033419023136
48,Oligo L1-6 OPALIN,8.290018846932618,0.95873786407767,0.9411764705882352,1.0,0.984126984126984,1.0,0.8887468030690537,1.0,0.984126984126984,1.0,0.984126984126984,1.0,0.984126984126984,0.9989316239316236,0.993485342019544,1.0,0.984126984126984,1.0,0.9967845659163984,1.0,0.9967845659163984
49,Inh L1-3 VIP ADAMTSL1,6.169925001442312,0.9178743961352658,0.7142857142857142,1.0,0.8333333333333333,1.0,0.625,1.0,0.8870967741935485,1.0,0.9090909090909092,1.0,0.8974358974358975,1.0,0.9677419354838708,1.0,0.9285714285714286,1.0,0.8783783783783784,1.0,0.8536585365853658
50,Inh L1-3 SST CALB1,8.124121311829187,0.9090909090909091,0.7692307692307693,1.0,0.9642857142857144,1.0,1.0,1.0,0.9888059701492536,1.0,0.8814102564102562,1.0,0.8487654320987654,0.985832349468713,0.9765625,1.0,0.9926470588235292,1.0,0.9782608695652174,1.0,0.9239130434782608
